54620,43523
52694,42750
53253,43024
54925,42624
54973,43980
52967,42955
55143,40238
53071,44896
55710,44219
54459,43964
54467,44351
53570,41898
55155,43399
54051,41019
55335,44023
54449,42872
53399,42273
54241,43580
56000,41710
53204,42630
54524,42904
55665,44100
55829,40780
54059,42096
53106,42771
54427,43777
55368,41828
53927,45077
55278,44081
55909,41497
53344,42929
55095,42443
55645,43363
55718,43777
57115,44424
54963,44875
54483,43594
54543,44843
54263,39356
53992,42499
54729,40311
55013,44589
53332,43782
52627,41645
57103,40709
54352,42520
50478,42084
54849,41733
53055,42310
55191,42127
51936,41784
54594,44345
52164,42650
56302,42288
52913,44156
53697,46311
53582,40916
52993,40890
54222,43822
52221,43490
55062,44521
52460,42366
54341,45492
52195,42091
53141,41774
53476,41355
54256,44048
56036,42102
54916,42689
53420,44299
54924,42079
56208,41204
53855,42912
55078,42668
52975,43407
52526,43275
56191,42928
56569,44022
53730,42300
56749,45529
55281,42586
56338,39718
52456,43210
55388,42905
55983,42644
54325,45723
52346,41845
52745,42741
54393,42416
53106,42336
56285,41221
54064,41409
53703,44027
54179,45588
55395,42014
56830,40997
57981,42287
52898,41098
54307,42992
55303,44416
52517,43287
53727,41735
55346,40987
53531,43995
54225,40013
54111,43711
55977,44177
55227,44206
49952,42514
55911,44667
55825,42139
53832,43983
54353,42453
50548,44199
54329,44001
54691,42918
54026,42248
54140,42328
54032,42111
54556,42397
55092,43404
54417,42391
57398,41217
55169,42237
53973,44112
53795,43670
52409,41340
56804,43627
56299,42413
55062,43027
54716,43766
54943,41966
57196,43284
54033,40367
56416,42968
56087,43599
54414,44613
52304,42213
57416,43226
54876,42500
52495,41064
54272,43145
55984,40501
53322,41799
55053,43347
54308,42602
54091,44335
58773,43499
